ID,선수명,연도,타수,안타,홈런,볼넷,삼진,타점,도루,타율,출루율,장타율,OPS,다음연도,다음OPS
578,정수빈,2024,510,145,4,71,72,47,52,0.284,0.376,0.361,0.737,2025.0,0.703
578,정수빈,2025,462,119,6,61,57,38,26,0.258,0.355,0.348,0.703,,
581,정의윤,2021,165,38,7,11,37,24,0,0.23,0.275,0.37,0.645,,
587,지석훈,2021,34,5,0,6,12,2,0,0.147,0.302,0.176,0.478,,
588,임시완,2021,166,40,7,14,54,26,0,0.241,0.319,0.422,0.741,2022.0,0.604
588,임시완,2022,174,37,3,20,55,17,0,0.213,0.299,0.305,0.604,2023.0,0.25
588,임시완,2023,8,1,0,0,5,0,0,0.125,0.125,0.125,0.25,,
609,조수행,2021,84,24,1,16,26,8,21,0.286,0.417,0.369,0.786,2022.0,0.606
609,조수행,2022,119,28,1,10,31,9,22,0.235,0.295,0.311,0.606,2023.0,0.549
609,조수행,2023,219,48,1,23,38,17,26,0.219,0.298,0.251,0.549,2024.0,0.627
609,조수행,2024,328,87,0,33,53,30,64,0.265,0.334,0.293,0.627,2025.0,0.6
609,조수행,2025,119,29,0,14,29,9,30,0.244,0.323,0.277,0.6,,
613,조용호,2021,428,101,0,74,85,48,12,0.236,0.349,0.273,0.622,2022.0,0.756
613,조용호,2022,474,146,3,49,74,44,5,0.308,0.374,0.382,0.756,2023.0,0.603
613,조용호,2023,161,40,0,23,25,7,4,0.248,0.342,0.261,0.603,2024.0,0.591
613,조용호,2024,149,37,0,13,25,13,5,0.248,0.309,0.282,0.591,,
615,주효상,2023,32,2,0,2,10,1,0,0.063,0.118,0.063,0.181,2025.0,
615,주효상,2025,15,5,0,2,4,1,0,0.333,0.412,0.467,0.879,,
